[04/10/2025 23:31:53 - INFO] Discord Presence activated
[04/10/2025 23:31:53 - INFO] Creating discord-rpc client
[04/10/2025 23:31:53 - INFO] Successfully connected to Discord
[04/10/2025 23:31:53 - DEBUG] Loading git extension
[04/10/2025 23:53:08 - TRACE] VSCode language id: python
[04/10/2025 23:53:11 - TRACE] VSCode language id: python
[05/10/2025 00:03:04 - TRACE] VSCode language id: python
[05/10/2025 00:03:06 - TRACE] VSCode language id: python
[05/10/2025 00:13:10 - TRACE] VSCode language id: python
[05/10/2025 00:13:12 - TRACE] VSCode language id: python
[05/10/2025 00:13:16 - TRACE] VSCode language id: python
[05/10/2025 00:13:17 - TRACE] VSCode language id: code-runner-output
[05/10/2025 00:13:49 - TRACE] VSCode language id: python
[05/10/2025 00:16:27 - TRACE] VSCode language id: python
[05/10/2025 00:16:29 - TRACE] VSCode language id: code-runner-output
[05/10/2025 00:16:29 - TRACE] VSCode language id: code-runner-output
[05/10/2025 00:16:30 - TRACE] VSCode language id: python
[05/10/2025 00:22:19 - TRACE] VSCode language id: python
[05/10/2025 00:22:21 - TRACE] VSCode language id: python
[05/10/2025 00:22:23 - TRACE] VSCode language id: python
[05/10/2025 00:22:26 - TRACE] VSCode language id: python
[05/10/2025 00:22:30 - TRACE] VSCode language id: python
[05/10/2025 00:22:31 - TRACE] VSCode language id: python
[05/10/2025 00:22:32 - TRACE] VSCode language id: python
[05/10/2025 00:22:33 - TRACE] VSCode language id: python
[05/10/2025 00:22:35 - TRACE] VSCode language id: python
[05/10/2025 00:22:35 - TRACE] VSCode language id: python
[05/10/2025 00:22:37 - TRACE] VSCode language id: python
[05/10/2025 00:24:44 - TRACE] VSCode language id: python
[05/10/2025 00:24:46 - TRACE] VSCode language id: python
